site name,site id,ccamlr region,Longitude EPSG:4326,Latitude EPSG:4326,common name,day,month,year,season starting,count,accuracy,count type,vantage,reference,notes
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,chinstrap penguin,25,11,1997,1997,4608,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,13,12,1999,1999,1177,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,11,1,2002,2001,1236,1,chicks,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,20,12,2003,2003,1486,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,22,1,2006,2005,2483,1,chicks,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,18,11,2005,2005,1998,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,20,12,2006,2006,1639,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,3,12,2007,2007,1383,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,chinstrap penguin,25,1,2009,2008,8307,1,chicks,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,chinstrap penguin,26,11,2008,2008,5620,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,4,11,2008,2008,2210,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,29,12,2008,2008,2742,1,chicks,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,chinstrap penguin,22,1,2010,2009,4870,1,chicks,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,10,12,2009,2009,1900,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,21,12,2010,2010,1319,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,chinstrap penguin,17,11,2011,2011,4047,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,17,11,2011,2011,2213,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,28,1,2014,2013,2297,1,chicks,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,4,12,2014,2014,1916,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,26,12,2015,2015,1828,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,31,12,2017,2017,1704,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,chinstrap penguin,27,12,2018,2018,3797,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,27,12,2018,2018,1943,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Alcock Island,ALCO,48.1,-61.127,-64.24,chinstrap penguin,Unknown,Unknown,1989,1989,3000,4,nests,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Alcock Island,ALCO,48.1,-61.127,-64.24,chinstrap penguin,5,1,1998,1997,605,2,nests,ground,"<strong>Favero, M., N. R. Coria, and M. P. Beron, </strong><i> 2000</i>. The status of breeding birds at Cierva Point and surroundings, Danco Coast, Antarctic Peninsula. Polish Polar Research 21:181-187.",None
Alcock Island,ALCO,48.1,-61.127,-64.24,chinstrap penguin,9,2,2011,2010,1100,1,nests,ground,"<strong>Gonz&#225;lez-Zevallos, D., M. M. Santos, E. F. Rombol&#225;, M. A. Ju&#225;res, and N. R. Coria, </strong><i> 2013</i>. Abundance and breeding distribution of seabirds in the northern part of the Danco Coast, Antarctic Peninsula. Polar Research 32:1-7.",None
Alcock Island,ALCO,48.1,-61.127,-64.24,chinstrap penguin,10,12,2010,2010,1016,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,28,11,1995,1995,8,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,2,12,1995,1995,6,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,13,12,1995,1995,6,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,16,12,1995,1995,6,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,25,11,1996,1996,9,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,23,11,1997,1997,6,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,4,12,1997,1997,8,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,16,1,2006,2005,111,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,6,2,2006,2005,121,1,chicks,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,19,11,2006,2006,128,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,8,1,2008,2007,123,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,3,1,2009,2008,140,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,29,1,2009,2008,165,1,chicks,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,17,11,2008,2008,192,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,30,11,2008,2008,163,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,8,12,2008,2008,153,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,5,2,2010,2009,228,1,chicks,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,23,12,2009,2009,165,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,22,1,2012,2011,158,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,1,2,2012,2011,178,1,chicks,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,4,12,2011,2011,189,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,8,1,2013,2012,188,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,11,1,2013,2012,159,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,22,1,2013,2012,183,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,12,12,2012,2012,162,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,3,1,2014,2013,150,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,26,1,2014,2013,129,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,12,12,2013,2013,197,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,23,12,2013,2013,164,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,1,2,2015,2014,211,1,chicks,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,6,12,2014,2014,126,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,14,12,2014,2014,204,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,23,12,2014,2014,193,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,14,1,2016,2015,191,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,26,1,2016,2015,171,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,23,2,2016,2015,189,1,chicks,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,14,12,2015,2015,204,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,13,12,2016,2016,173,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,23,12,2016,2016,170,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,7,1,2018,2017,174,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,20,1,2018,2017,181,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,26,1,2018,2017,186,1,chicks,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,16,2,2018,2017,209,1,chicks,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,14,1,2019,2018,165,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Brown Station,ALMI,48.1,-62.870278,-64.895556,gentoo penguin,7,12,2018,2018,174,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Ambush Bay,AMBU,48.1,-55.393,-63.184,adelie penguin,12,1,2011,2010,17621,5,nests,vhr,"<strong>Lynch, H. J. and M. A. LaRue, </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.",None
Anvers Island South West (7 km south of Gerlache Island),ANVS,48.1,-64.25,-64.66,chinstrap penguin,8,2,1987,1986,2,1,nests,ground,"<strong>Poncet, S. and J. Poncet, </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129.",None
Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,1,12,1979,1979,811,1,nests,ground,"<strong>Bannasch, R., and R. Odening, </strong><i> 1981</i>. Zoologische untersuchungen im gebiet der sowjetischen Antarktisstation Bellingshausen. Geod&#228;tische und Geophysikalische Ver&#246;ffentlichungen 8:3-20.",None
Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,24,12,1979,1979,601,1,nests,ground,"<strong>Bannasch, R., and R. Odening, </strong><i> 1981</i>. Zoologische untersuchungen im gebiet der sowjetischen Antarktisstation Bellingshausen. Geod&#228;tische und Geophysikalische Ver&#246;ffentlichungen 8:3-20.",None
Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,1,12,1979,1979,180,1,nests,ground,"<strong>Bannasch, R., and R. Odening, </strong><i> 1981</i>. Zoologische untersuchungen im gebiet der sowjetischen Antarktisstation Bellingshausen. Geod&#228;tische und Geophysikalische Ver&#246;ffentlichungen 8:3-20.",None
Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,2,12,1979,1979,3508,1,nests,ground,"<strong>Bannasch, R., and R. Odening, </strong><i> 1981</i>. Zoologische untersuchungen im gebiet der sowjetischen Antarktisstation Bellingshausen. Geod&#228;tische und Geophysikalische Ver&#246;ffentlichungen 8:3-20.",None
Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,Unknown,Unknown,1980,1980,960,3,nests,ground,"<strong>Jab&#322;onski, B., </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30.",Estimated accuracy.
Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,Unknown,Unknown,1980,1980,210,2,nests,ground,"<strong>Jab&#322;onski, B., </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30.",Estimated accuracy.
Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,Unknown,Unknown,1980,1980,244,1,nests,ground,"<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING, </strong><i> 2009c</i>.  Management plan for Antarctic Specially Protected Area No. 150: Ardley Island, Maxwell Bay, King George Island (25 De Mayo). Measure 9, Final Report of the Thirty-second Antarctic Treaty Consultative Meeting, Baltimore, United States.",None
Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,Unknown,Unknown,1980,1980,3809,1,nests,ground,"<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING, </strong><i> 2009c</i>.  Management plan for Antarctic Specially Protected Area No. 150: Ardley Island, Maxwell Bay, King George Island (25 De Mayo). Measure 9, Final Report of the Thirty-second Antarctic Treaty Consultative Meeting, Baltimore, United States.",Estimated accuracy.
Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,Unknown,Unknown,1981,1981,1314,1,nests,ground,"<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING, </strong><i> 2009c</i>.  Management plan for Antarctic Specially Protected Area No. 150: Ardley Island, Maxwell Bay, King George Island (25 De Mayo). Measure 9, Final Report of the Thirty-second Antarctic Treaty Consultative Meeting, Baltimore, United States.",Estimated accuracy.
Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,Unknown,Unknown,1981,1981,141,1,nests,ground,"<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING, </strong><i> 2009c</i>.  Management plan for Antarctic Specially Protected Area No. 150: Ardley Island, Maxwell Bay, King George Island (25 De Mayo). Measure 9, Final Report of the Thirty-second Antarctic Treaty Consultative Meeting, Baltimore, United States.",None
Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,Unknown,Unknown,1981,1981,2580,1,nests,ground,"<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING, </strong><i> 2009c</i>.  Management plan for Antarctic Specially Protected Area No. 150: Ardley Island, Maxwell Bay, King George Island (25 De Mayo). Measure 9, Final Report of the Thirty-second Antarctic Treaty Consultative Meeting, Baltimore, United States.",Estimated accuracy.
Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,Unknown,Unknown,1983,1983,1074,1,nests,ground,"<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING, </strong><i> 2009c</i>.  Management plan for Antarctic Specially Protected Area No. 150: Ardley Island, Maxwell Bay, King George Island (25 De Mayo). Measure 9, Final Report of the Thirty-second Antarctic Treaty Consultative Meeting, Baltimore, United States.",Estimated accuracy.
Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,Unknown,Unknown,1983,1983,91,1,nests,ground,"<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING, </strong><i> 2009c</i>.  Management plan for Antarctic Specially Protected Area No. 150: Ardley Island, Maxwell Bay, King George Island (25 De Mayo). Measure 9, Final Report of the Thirty-second Antarctic Treaty Consultative Meeting, Baltimore, United States.",None
Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,Unknown,Unknown,1983,1983,1656,1,nests,ground,"<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING, </strong><i> 2009c</i>.  Management plan for Antarctic Specially Protected Area No. 150: Ardley Island, Maxwell Bay, King George Island (25 De Mayo). Measure 9, Final Report of the Thirty-second Antarctic Treaty Consultative Meeting, Baltimore, United States.",Estimated accuracy.
Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,Unknown,Unknown,1984,1984,1331,1,nests,ground,"<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING, </strong><i> 2009c</i>.  Management plan for Antarctic Specially Protected Area No. 150: Ardley Island, Maxwell Bay, King George Island (25 De Mayo). Measure 9, Final Report of the Thirty-second Antarctic Treaty Consultative Meeting, Baltimore, United States.",Estimated accuracy.
Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,Unknown,Unknown,1984,1984,110,1,nests,ground,"<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING, </strong><i> 2009c</i>.  Management plan for Antarctic Specially Protected Area No. 150: Ardley Island, Maxwell Bay, King George Island (25 De Mayo). Measure 9, Final Report of the Thirty-second Antarctic Treaty Consultative Meeting, Baltimore, United States.",None
Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,Unknown,Unknown,1984,1984,3105,1,nests,ground,"<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING, </strong><i> 2009c</i>.  Management plan for Antarctic Specially Protected Area No. 150: Ardley Island, Maxwell Bay, King George Island (25 De Mayo). Measure 9, Final Report of the Thirty-second Antarctic Treaty Consultative Meeting, Baltimore, United States.",Estimated accuracy.
Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,Unknown,Unknown,1985,1985,929,1,nests,ground,"<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING, </strong><i> 2009c</i>.  Management plan for Antarctic Specially Protected Area No. 150: Ardley Island, Maxwell Bay, King George Island (25 De Mayo). Measure 9, Final Report of the Thirty-second Antarctic Treaty Consultative Meeting, Baltimore, United States.",Estimated accuracy.
