x_var,y_var,SPECIES,PROJECT,n_ok,lm_slope,lm_se,lm_t,lm_p,lm_R2,lm_significant,dw_stat,dw_p,acf1,pacf1,acf_sig_lags,autocorr_flag,gls_slope,gls_se,gls_t,gls_p,gls_rho,gls_AIC,used_gls,status
cal.yr,index,ADPE,COPA,22,0.034973084076250334,0.03240136419823665,1.0793707284137635,0.2932681089408618,0.05504554231830404,NS,2.8390628887877196,0.9684741574726771,-0.4802645051429826,-0.4802645051429826,1,autocorr_detected,0.04278386880883257,0.020528906551053664,2.084079281204417,0.050188239961998615,-0.4680816854172195,70.25031326439193,TRUE,ok (GLS AR1 used due to autocorrelation)
cal.yr,index,CHPE,COPA,20,0.04937642615684796,0.03463770343701578,1.4255109680303333,0.17112087517415814,0.10144135635373235,NS,2.219046273431701,0.5968749990669868,-0.13609688008060175,-0.13609688008060175,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
cal.yr,index,CHPE,CS,17,-0.016496302752813958,0.05095328466350108,-0.3237534706890174,0.7505947480909194,0.006939264115068809,NS,2.4570019530720115,0.7566442645385074,-0.31107938391534656,-0.31107938391534656,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
cal.yr,DAYmean,ADPE,COPA,22,-0.17018040426004047,0.12349458551472772,-1.378039397846678,0.18341475677849364,0.0867159790527093,NS,2.3136813928839532,0.6958171915723578,-0.20931651388064526,-0.20931651388064526,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
cal.yr,DAYmean,CHPE,COPA,20,-0.2803149705900914,0.0970714843564639,-2.8877169484781398,0.009801890474492665,0.31660039978392623,significant,2.184345414613485,0.5656553703067895,-0.14405864546002245,-0.14405864546002245,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
cal.yr,DAYmean,CHPE,CS,17,0.16113945578231909,0.17700948974086683,0.910343598064823,0.3770381431072023,0.052355792529821754,NS,1.8761242042592692,0.29096354532134544,0.05080635073821535,0.05080635073821535,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
cal.yr,WTmean,ADPE,COPA,22,4.974084634177597,4.6083189985033775,1.0793707284137681,0.29326810894085975,0.055045542318304094,NS,2.8390628887877187,0.968474157472677,-0.48026450514298213,-0.48026450514298213,1,autocorr_detected,6.084981922846082,2.9197458952640702,2.084079279883957,0.050188240094144417,-0.468081684768588,268.54702927597873,TRUE,ok (GLS AR1 used due to autocorrelation)
cal.yr,WTmean,CHPE,COPA,20,3.635185553231694,2.5500930085824396,1.425510968030316,0.17112087517416302,0.10144135635373228,NS,2.2190462734316942,0.5968749990669813,-0.13609688008059864,-0.13609688008059864,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
cal.yr,WTmean,CHPE,CS,17,-1.4436574629853058,4.459125827787653,-0.3237534706890209,0.7505947480909169,0.006939264115068773,NS,2.4570019530720097,0.7566442645385063,-0.3110793839153463,-0.3110793839153463,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
cal.yr,DAY_index,ADPE,COPA,22,-0.04389574461015768,0.03185376606702866,-1.3780393978466956,0.1834147567784882,0.08671597905270936,NS,2.3136813928839493,0.6958171915723542,-0.20931651388064398,-0.20931651388064398,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
cal.yr,DAY_index,CHPE,COPA,20,-0.08723039889016726,0.03020739236099221,-2.8877169484781717,0.009801890474491988,0.31660039978392507,significant,2.184345414613472,0.5656553703067779,-0.14405864546001956,-0.14405864546001956,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
cal.yr,DAY_index,CHPE,CS,17,0.04531190058365221,0.049774503473168086,0.9103435980647898,0.37703814310721917,0.05235579252982197,NS,1.8761242042592523,0.29096354532133295,0.05080635073822516,0.05080635073822516,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
index,DAYmean,ADPE,COPA,22,-1.4066948917781685,0.8078285188307016,-1.7413285851981324,0.09698764682338706,0.131651423595308,NS,2.250932569568056,0.7530896179915415,-0.1402819553517354,-0.1402819553517354,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
index,DAYmean,CHPE,COPA,20,-1.6684595955277475,0.6473377531235943,-2.577417410736422,0.018978293734419394,0.26957183809451374,significant,1.5182442219038759,0.1354518090437724,0.19031189380920221,0.19031189380920221,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
index,DAYmean,CHPE,CS,17,-1.8933544949949543,0.7772587435528903,-2.435938496285461,0.027798217679457452,0.2834553396955558,significant,1.5769087171389249,0.2012022316693401,0.13540738564312751,0.13540738564312751,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
index,WTmean,ADPE,COPA,22,142.22607944248756,8.182046923641784e-14,1738270151342318.8,2.8441542048182627e-293,1,significant,0.953735546415812,0.004307938216761694,0.04569180348868958,0.04569180348868958,none,autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
index,WTmean,CHPE,COPA,20,73.62188469623723,1.7639715533174974e-13,417364353511125.06,2.4914444545510608e-253,1,significant,1.086809571283287,0.01392807183328856,-0.01744685541769785,-0.01744685541769785,none,autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
index,WTmean,CHPE,CS,17,87.51400144732611,4.473398879641351e-14,1956320100262162,5.698324932509463e-222,1,significant,1.1053401757492072,0.0286605961693721,0.016471554561007063,0.016471554561007063,none,autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
index,DAY_index,ADPE,COPA,22,-0.36283801288634,0.20836849286836684,-1.7413285851981306,0.09698764682338744,0.13165142359530763,NS,2.25093256956805,0.7530896179915372,-0.14028195535173366,-0.14028195535173366,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
index,DAY_index,CHPE,COPA,20,-0.5192030798199383,0.20144314912173814,-2.577417410736407,0.01897829373441998,0.2695718380945092,significant,1.5182442219038486,0.1354518090437582,0.19031189380920863,0.19031189380920857,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
index,DAY_index,CHPE,CS,17,-0.5324052401090341,0.2185626775556526,-2.435938496285432,0.027798217679459024,0.2834553396955578,significant,1.5769087171389038,0.20120223166932755,0.13540738564314006,0.13540738564314006,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
DAYmean,WTmean,ADPE,COPA,22,-13.310822368391474,7.644061253882724,-1.7413285851981333,0.09698764682338692,0.13165142359530796,NS,2.8224764401632694,0.9801348627991292,-0.4288762585106703,-0.4288762585106703,1,autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
DAYmean,WTmean,CHPE,COPA,20,-11.89503589703002,4.6150987602863465,-2.577417410736403,0.018978293734420122,0.26957183809451035,significant,2.003616403285558,0.4773498418771897,-0.011594334075415,-0.011594334075414976,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
DAYmean,WTmean,CHPE,CS,17,-13.101778390652575,5.378534150444006,-2.4359384962854618,0.02779821767945742,0.2834553396955631,significant,2.2325258013155813,0.6780465684437679,-0.23811038928215392,-0.23811038928215403,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
DAYmean,DAY_index,ADPE,COPA,22,0.25793653976214115,6.477971261754085e-16,398174875033789.4,1.798131900452474e-280,1,significant,1.0986540085294443,0.011299422518388103,-0.022010405390610287,-0.022010405390610287,none,autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
DAYmean,DAY_index,CHPE,COPA,20,0.3111870861072378,1.6098483812393948e-15,193302108281563.84,2.5910091389219896e-247,1,significant,1.3117970644477575,0.04341682849339079,-0.0858125418875538,-0.0858125418875538,none,autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
DAYmean,DAY_index,CHPE,CS,17,0.2811968078436665,1.5190113672650095e-15,185118303854409.8,1.304985033427468e-206,1,significant,0.9468687676147991,0.006550502401677014,0.07414894027499633,0.07414894027499633,none,autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
WTmean,DAY_index,ADPE,COPA,22,-0.002551135588554714,0.0014650512317090575,-1.7413285851981322,0.09698764682338715,0.13165142359530793,NS,2.2509325695680507,0.7530896179915401,-0.140281955351734,-0.140281955351734,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
WTmean,DAY_index,CHPE,COPA,20,-0.007052292697506444,0.002736185713703063,-2.5774174107363876,0.018978293734420747,0.2695718380945063,significant,1.5182442219038408,0.1354518090437543,0.19031189380921065,0.1903118938092106,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
WTmean,DAY_index,CHPE,CS,17,-0.006083657829650079,0.002497459537228491,-2.435938496285431,0.027798217679459086,0.28345533969555786,significant,1.5769087171389027,0.20120223166932624,0.13540738564314067,0.13540738564314067,none,no_autocorr_detected,NA,NA,NA,NA,NA,NA,FALSE,ok
